id,compID,companyName,date_created,date_latest_quote,date_latest_order,company_status,customer,supplier,company_reg_no,VAT_no,companyWeb,address1,address2,city,postalCode,province,country,businessPhone,companyEmail
064e504fdaac4927a6bafe614a440b09,OLM,OLM Engineering,2022/02/21,NULL,NULL,Operational,1,0,NULL,NULL,NULL,Unit A6,"Bumba Road, Zone 3 Coega",Port Elizabeth,6100,Eastern Cape,ZA,27411100423,NULL
079f18541a6a4a25839622d4af4c2813,SLFC,Solid Liquid Filtration Consultants (Pty) Ltd,2022/01/21,NULL,NULL,Operational,1,0,NULL,NULL,https://www.slfc.co.za,1 Kruger Rd,"Strijdom Park, Randburg",Johannesburg,2169,Gauteng,ZA,117942549,info@slfc.co.za
10fbf2b4b7b7415686ae3abe15d88ce2,MUL,Multotec Process Equipment (Pty) Ltd,2022/03/11,NULL,NULL,Operational,1,0,NULL,NULL,https://www.multotec.com,110 Plane Rd,Spartan,Kempton Park,NULL,Gauteng,ZA,+27 11 923 6298,NULL
153784b7967748398fdc618a001feb00,MAC,Mac Partners Mining & Construction,2022/01/21,NULL,NULL,Operational,1,0,NULL,NULL,https://macpartnersltd.com,Tantra Street,Ghana,Accra,NULL,Greater Accra,GH,2.33303E+11,NULL
15699a9a4a034d8486fe848cb6e7394d,SRL,Sierra Rutile Limited,2022/02/21,NULL,NULL,Operational,1,0,NULL,NULL,https://www.sierra-rutile.com,NULL,NULL,NULL,NULL,NULL,SL,NULL,NULL
167858a80b20454b9887df046ac76ff9,ABF,Air Blow Fans (Pty) Ltd,2022/02/15,NULL,NULL,Operational,1,0,NULL,NULL,https://www.airblowfans.co.za,ICC Medical Building,"Irene Corporate Corner, Irene","Centurion, Pretoria",NULL,Gauteng,ZA,+2711452 0726,info@airblowfans.co.za
1fed37d2b0ea427db8c97d29e6bbc0c9,BOS,Bosveld Mines (Pty) Ltd,2022/02/08,NULL,NULL,Operational,1,0,NULL,NULL,https://www.bosveldmines.co.za,NULL,NULL,NULL,NULL,NULL,AF,NULL,NULL
22a5dd516eac4d0db7633e0ae0c80bcd,AMT,Applied Mineral Technologies (Pty) Ltd,2022/03/08,NULL,NULL,Operational,1,0,NULL,NULL,https://www.amtec.co.za,NULL,NULL,NULL,NULL,NULL,ZA,+27 13 650 2270,ben@amtec.co.za
329c394214504acb8e2591d2f6c874df,PETF,Petra Diamonds - Finch Mine,2022/01/21,NULL,NULL,Operational,1,0,NULL,NULL,https://www.petradiamonds.com/our-operations/our-mines/finch,NULL,NULL,NULL,NULL,NULL,AF,NULL,NULL
3355db77245e4798bce6b05f38a469e7,PROD,Prodiscore,2022/06/13,NULL,NULL,Operational,1,0,NULL,NULL,NULL,NULL,NULL,Emalahleni,1034,Mpumalanga,ZA,NULL,NULL
36fdcf6865ee4931ac46d0258bd85156,GOL,GoldOre,2022/08/22,NULL,NULL,Operational,1,0,NULL,NULL,https://www.goldore.org,NULL,NULL,NULL,NULL,NULL,ZA,NULL,NULL
3bbc54663d084f5382f67da225377375,AIO,All In One Engineering (PTY) Ltd,2022/03/02,NULL,NULL,Operational,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gauteng,South Africa,NULL,wessel@aio.co.za
3c952205b25b4915be4f6e84548e3423,TCT,Tower City Trading 174cc,2022/05/21,NULL,NULL,Operational,1,0,NULL,NULL,NULL,20 Forge Road,Spartan,Kempton Park,1619,Gauteng,ZA,+27 11 394 3502,julio@tct174.co.za
48384ca2e2714705ae54c710be70fd6c,iQ,iQlaser,2022/10/05,NULL,NULL,Operational,0,1,2004/026472/0,4390215228,NULL,NULL,NULL,NULL,NULL,NULL,AF,NULL,NULL
