designation,motorPower,motorSpeed,poles,frame,shaft,keywaywidth,keywayheight,shaftkeydepth,weight,shaft_height,full_load_torque,lock_rotor_torque,break_torque,mounting
0.18kW_2860rpm_63_FM,0.18,2860,2,63,11,,,,7.6,63,0.6,3.0,3.2,
0.25kW_2805rpm_63_FM,0.25,2805,2,63,11,,,,7.8,63,0.85,3.2,3.2,
0.37kW_2820rpm_71_FM,0.37,2820,2,71,14,,,,10.1,71,1.25,2.5,2.5,
0.55kW_2770rpm_71_FM,0.55,2770,2,71,14,,,,11,71,1.9,3.0,3.0,
0.75kW_2850rpm_80_FM,0.75,2850,2,80,19,,,,14,80,2.51,3.9,3.5,
1.1kW_2830rpm_80_FM,1.1,2830,2,80,19,,,,14.8,80,3.71,3.6,3.6,
1.5kW_2875rpm_90S_FM,1.5,2875,2,90S,24,,,,21.5,90,4.98,3.3,3.3,
2.2kW_2865rpm_90L_FM,2.2,2865,2,90L,24,,,,25,90,7.33,3.1,3.4,
3kW_2910rpm_100L_FM,3,2910,2,100L,28,,,,32.8,100,9.85,3.4,3.4,
4kW_2900rpm_112M_FM,4,2900,2,112M,28,,,,42.5,112,13.2,2.9,3.5,
5.5kW_2940rpm_132S_FM,5.5,2940,2,132S,38,,,,61,132,17.9,2.4,3.5,
7.5kW_2935rpm_132S_FM,7.5,2935,2,132S,38,,,,68.6,132,24.4,3.0,3.6,
9.2kW_2935rpm_132M_FM,9.2,2935,2,132M,38,,,,83.2,132,29.9,2.8,3.1,
11kW_2950rpm_160M_FM,11,2950,2,160M,42,,,,113,160,35.6,2.8,3.4,
15kW_2945rpm_160M_FM,15,2945,2,160M,42,,,,120,160,48.6,2.8,3.5,
18.5kW_2945rpm_160L_FM,18.5,2945,2,160L,42,,,,135,160,60.0,3.1,3.7,
22kW_2950rpm_180M_FM,22,2950,2,180M,48,,,,166,180,71.2,2.7,3.6,
30kW_2965rpm_200L_FM,30,2965,2,200L,55,,,,230,200,96.6,3.0,3.0,
37kW_2960rpm_200L_FM,37,2960,2,200L,55,,,,246,200,119.0,3.1,3.0,
45kW_2960rpm_225S/M_FM,45,2960,2,225S/M,55,,,,396,225,145.0,2.4,3.1,
55kW_2965rpm_250S/M_FM,55,2965,2,250S/M,60,,,,466,250,177.0,2.8,3.3,
75kW_2965rpm_250S/M_FM,75,2965,2,250S/M,60,,,,500,250,242.0,3.0,3.2,
90kW_2975rpm_280S/M_FM,90,2975,2,280S/M,65,,,,717,280,289.0,2.1,3.1,
110kW_2975rpm_280S/M_FM,110,2975,2,280S/M,65,,,,790,280,353.0,2.1,3.0,
132kW_2980rpm_315S/M_FM,132,2980,2,315S/M,65,,,,950,315,423.0,2.1,3.1,
160kW_2980rpm_315S/M_FM,160,2980,2,315S/M,65,,,,1079,315,513.0,2.0,2.9,
185kW_2980rpm_315S/M_FM,185,2980,2,315S/M,70,,,,1123,315,593.0,2.3,3.1,
200kW_2975rpm_315S/M_FM,200,2975,2,315S/M,70,,,,1200,315,642.0,2.3,2.9,
220kW_2985rpm_355M/L_FM,220,2985,2,355M/L,90,,,,1600,355,704.0,1.9,2.6,
220kW_2980rpm_315L_FM,220,2980,2,315L,70,,,,1320,315,705.0,2.7,3.3,
250kW_2985rpm_355M/L_FM,250,2985,2,355M/L,90,,,,1750,355,800.0,2.4,2.7,
250kW_2980rpm_315L_FM,250,2980,2,315L,70,,,,1350,315,801.0,2.7,2.9,
280kW_2980rpm_315L_FM,280,2980,2,315L,70,,,,1550,315,897.0,2.5,2.7,
300kW_2985rpm_355M/L_FM,300,2985,2,355M/L,90,,,,1850,355,960.0,2.3,2.9,
315kW_2983rpm_355M/L_FM,315,2983,2,355M/L,90,,,,1950,355,1008.0,2.6,2.7,
355kW_2988rpm_355M/L_FM,355,2988,2,355M/L,90,,,,1950,355,1135.0,2.6,3.2,
400kW_2985rpm_355A/B_FM,400,2985,2,355A/B,90,,,,2250,355,1280.0,2.4,2.8,
450kW_2985rpm_355A/B_FM,450,2985,2,355A/B,90,,,,2400,355,1440.0,2.5,2.7,
0.18kW_1370rpm_63_FM,0.18,1370,4,63,11,,,,14,63,1.25,2.1,2.4,
