designation,profile,h,b,c,d,tw,tf,r1,r2,b1,Beta,A,Ix,Zx,rx,Iy,Zy,ry,Iu,Zu,ru,Iv,Zv,rv,J,Cw,Zplx,Zply,h_tf,hw,ac,ax,ay,alpha,id,unit_mass
IPE_AA100,IPE,97.60,55.00,-,-,3.60,4.50,7.00,-,-,-,856.00,1360000.00,27800.00,39.80,126000.00,4570.00,12.10,-,-,-,-,-,-,7330.00,272000000.00,31900.00,7230.00,21.70,74.60,-,-,-,-,61d13dbecd444878a12a5d6583916573,6.72
IPE100,IPE,100.00,55.00,-,-,4.10,5.70,7.00,-,-,-,1030.00,1710000.00,34200.00,40.70,159000.00,5790.00,12.40,-,-,-,-,-,-,12100.00,354000000.00,39400.00,9150.00,17.50,74.60,-,-,-,-,612f1b1bc2e14a919a5dbb8478e1cfcc,8.10
IPE_AA120,IPE,117.00,64.00,-,-,3.80,4.80,7.00,-,-,-,1060.00,2440000.00,41700.00,47.90,211000.00,6590.00,14.10,-,-,-,-,-,-,9550.00,663000000.00,47600.00,10400.00,24.40,93.40,-,-,-,-,91ef7316a0914bcb87f28e2d8b8055ef,8.36
IPE120,IPE,120.00,64.00,-,-,4.40,6.30,7.00,-,-,-,1320.00,3180000.00,53000.00,49.00,277000.00,8650.00,14.50,-,-,-,-,-,-,17400.00,894000000.00,60700.00,13600.00,19.00,93.40,-,-,-,-,6bbb29d108ae4dad8023b46d2600aff4,10.40
IPE_AA140,IPE,136.60,73.00,-,-,3.80,5.20,7.00,-,-,-,1280.00,4070000.00,59700.00,56.40,338000.00,9270.00,16.30,-,-,-,-,-,-,12000.00,1460000000.00,67600.00,14500.00,26.30,112.00,-,-,-,-,71d8b17a19e3471cbd4472247cd9c00c,10.10
IPE140,IPE,140.00,73.00,-,-,4.70,6.90,7.00,-,-,-,1640.00,5410000.00,77300.00,57.40,449000.00,12300.00,16.50,-,-,-,-,-,-,24600.00,1990000000.00,88300.00,19200.00,20.30,112.00,-,-,-,-,ea817ab56525466cb410f2c07a40fee7,12.90
IPE_AA160,IPE,156.40,82.00,-,-,4.00,5.60,9.00,-,-,-,1570.00,6590000.00,84300.00,64.80,517000.00,12600.00,18.10,-,-,-,-,-,-,18200.00,2940000000.00,95200.00,19700.00,27.90,127.00,-,-,-,-,314c0d46b49b4e8fbf4bdb6b643c97ad,12.30
IPE160,IPE,160.00,82.00,-,-,5.00,7.40,9.00,-,-,-,2010.00,8690000.00,109000.00,65.80,683000.00,16700.00,18.40,-,-,-,-,-,-,36200.00,3980000000.00,124000.00,26100.00,21.60,127.00,-,-,-,-,54c8ceddd72d423ea65d842bb0228a10,15.80
IPE_AA180,IPE,176.40,91.00,-,-,4.30,6.20,9.00,-,-,-,1900.00,10200000.00,116000.00,73.20,781000.00,17200.00,20.30,-,-,-,-,-,-,24900.00,5660000000.00,130000.00,26700.00,28.50,146.00,-,-,-,-,7db1746066f345a1a38d5dd1a9506b71,14.90
IPE180,IPE,180.00,91.00,-,-,5.30,8.00,9.00,-,-,-,2390.00,13200000.00,146000.00,74.20,1010000.00,22200.00,20.50,-,-,-,-,-,-,48100.00,7460000000.00,166000.00,34600.00,22.50,146.00,-,-,-,-,3d4aa70d392d4f9a85183876078187c1,18.80
IPE_AA200,IPE,196.40,100.00,-,-,4.50,6.70,12.00,-,-,-,2290.00,15300000.00,156000.00,81.90,1120000.00,22400.00,22.10,-,-,-,-,-,-,38700.00,10100000000.00,176000.00,35000.00,29.30,159.00,-,-,-,-,108465409d30415caf1ba8d9b3bc2497,18.00
IPE200,IPE,200.00,100.00,-,-,5.60,8.50,12.00,-,-,-,2850.00,19400000.00,194000.00,82.60,1420000.00,28500.00,22.40,-,-,-,-,-,-,70200.00,13100000000.00,221000.00,44600.00,23.50,159.00,-,-,-,-,45cb0c6a9c484dadad0d6c0ac2085371,22.40
UB203x133x25,UB,203.20,133.20,-,-,5.70,7.80,7.60,-,-,-,3220.00,23500000.00,231000.00,85.40,3090000.00,46300.00,31.00,-,-,-,-,-,-,62100.00,29500000000.00,259000.00,71200.00,26.10,172.00,-,-,-,-,583524e88d2a4f34a92285502befc2a1,25.10
UB203x133x30,UB,206.80,133.90,-,-,6.40,9.60,7.60,-,-,-,3800.00,28900000.00,279000.00,87.20,3840000.00,57400.00,31.80,-,-,-,-,-,-,103000.00,37300000000.00,313000.00,88000.00,21.50,172.00,-,-,-,-,b6b547c23ca7436aa569fc29cf223f86,30.00
UB254x146x31,UB,251.40,146.10,-,-,6.00,8.60,7.60,-,-,-,3990.00,44300000.00,352000.00,105.00,4480000.00,61300.00,33.50,-,-,-,-,-,-,88200.00,66000000000.00,395000.00,94200.00,29.20,219.00,-,-,-,-,3a451a2e634341049e97771f57e8af44,31.10
UB254x146x37,UB,256.00,146.40,-,-,6.30,10.90,7.60,-,-,-,4740.00,55500000.00,433000.00,108.00,5710000.00,78000.00,34.70,-,-,-,-,-,-,155000.00,85700000000.00,485000.00,119000.00,23.50,219.00,-,-,-,-,400cd7b3a1d7487c8990cc7e0c6f64e0,37.00
UB254x146x43,UB,259.60,147.30,-,-,7.20,12.70,7.60,-,-,-,5500.00,65500000.00,505000.00,109.00,6770000.00,92000.00,35.10,-,-,-,-,-,-,242000.00,103000000000.00,568000.00,141000.00,20.40,219.00,-,-,-,-,e3c409f09e9244e085ed4261adade0fd,43.00
UB305x102x25,UB,305.10,101.60,-,-,5.80,6.70,7.60,-,-,-,3120.00,43600000.00,286000.00,118.00,1190000.00,23500.00,19.60,-,-,-,-,-,-,48000.00,26500000000.00,336000.00,37800.00,44.80,276.00,-,-,-,-,20eb006a834f4fc5862ded0f7bb9a095,24.80
