designation,nom_bore,pressureRating,flange_type,pipeOutsideDia,flangeOutsideDia,flangeThickness,raisedFaceDia,raisedFaceThick,boltSize,NOB,boltHoleSize,PCD,flange_mass,id
SANS1123 10NB 600/3,10,600,3,17.2,75,10,35,2,M10,4,11,50,-,e4e41feadfe94d90b6399d76f4373a39
SANS1123 15NB 600/3,15,600,3,21.3,80,10,40,2,M10,4,11,55,-,1e86fec5d2f6492696adb5d917315c9f
SANS1123 20NB 600/3,20,600,3,26.9,90,10,50,2,M10,4,11,65,-,bd153666638e4c25aa9a8ed57d4f4f75
SANS1123 25NB 600/3,25,600,3,33.7,100,10,60,2,M10,4,11,75,-,54cfce32a6294f84a2a6fa000ecf0454
SANS1123 32NB 600/3,32,600,3,42.4,120,10,70,2,M12,4,14,90,-,cedd72a4840f479db94fc19d84fd42ec
SANS1123 40NB 600/3,40,600,3,48.3,130,10,80,3,M12,4,14,100,-,2069e1d3e17e484ea23343bd3bdcecad
SANS1123 50NB 600/3,50,600,3,60.3,140,10,90,3,M12,4,14,110,-,f9fda2c85ca0483a9659e263bf556e26
SANS1123 65NB 600/3,65,600,3,76.1,160,10,110,3,M12,4,14,130,-,4fcaa61e8ad845e3b38dc53ba1245db9
SANS1123 80NB 600/3,80,600,3,88.9,190,10,128,3,M16,4,18,150,-,06698746d3c44e2abbd671e4fbd8849d
SANS1123 100NB 600/3,100,600,3,114.3,210,10,148,3,M16,4,18,170,-,1fcf3bc6b04e43ffac129ad1ae975ecf
SANS1123 125NB 600/3,125,600,3,139.7,240,12,178,3,M16,8,18,200,-,856b1a01d66d47b4b88f0f298910b0d9
SANS1123 150NB 600/3,150,600,3,168.3,265,12,202,3,M16,8,18,225,-,770cf3bedabe4f8eb554e783132b1de6
SANS1123 175NB 600/3,175,600,3,193.7,295,14,230,3,M16,8,18,255,-,806ccc39b28e49b6989b1373cd2a2701
SANS1123 200NB 600/3,200,600,3,219.1,320,14,258,3,M16,8,18,280,-,64cea187664d41fabc8fcbed98417dbd
SANS1123 225NB 600/3,225,600,3,244.5,345,16,285,3,M16,8,18,305,-,32325e88fa3445a5b7039ec7e7fe7d5d
SANS1123 250NB 600/3,250,600,3,273,375,16,312,3,M16,12,18,335,-,7a10fd3876854b40998b3b3e9fea456a
SANS1123 300NB 600/3,300,600,3,323.9,440,20,365,4,M20,12,22,395,-,b7cfa402c057468a89f239570c8cf22d
SANS1123 350NB 600/3,350,600,3,355.6,490,22,415,4,M20,12,22,445,-,f77d4f07e1244d1188ad4c8d01d7d5b3
SANS1123 400NB 600/3,400,600,3,406.4,540,22,465,4,M20,16,22,495,-,76ed9a54973643f9977b797f1c1bb30e
SANS1123 450NB 600/3,450,600,3,457.2,595,25,520,4,M20,16,22,550,-,ac87d552c3cb4875af7cade41a13b449
SANS1123 500NB 600/3,500,600,3,508,645,25,570,4,M20,20,22,600,-,1ae5756b416d4a2893db53a7b8aeda4c
SANS1123 550NB 600/3,550,600,3,559,705,28,620,5,M24,20,26,655,-,61b5c32d54274e34bfe30cfca82ab253
SANS1123 600NB 600/3,600,600,3,609.6,755,30,670,5,M24,20,26,705,-,992d6a56c03049ceaee267e24252d49c
SANS1123 10NB 1000/3,10,1000,3,17.2,90,10,40,2,M12,4,14,60,-,8b0f1d4a238a4e1ca5957a3596107704
SANS1123 15NB 1000/3,15,1000,3,21.3,95,10,45,2,M12,4,14,65,-,2ab11ea60aeb4f9ea72785e80fc2f79b
SANS1123 20NB 1000/3,20,1000,3,26.9,105,10,58,2,M12,4,14,75,-,fdbb1f134d69493f90e93148fb9ef337
SANS1123 25NB 1000/3,25,1000,3,33.7,115,10,68,2,M12,4,14,85,-,31da5f21d49c471fba22f9ee0b69bac4
