designation,bearShaftDia,plumBlock,bearing,adapterSleeve,lockRing,seal,dimA,dimC,dimD,dimE,dimF,dimF1,dimG,dimH,dimJ,dimK,dimL,dimM,dimN,dimS,dimT,dimU
SP1,40,SNL 509,22209 EK,H 309,2 x FRB 3.5/85,2 x TSN 509 L,85,205,170,M12,15,30,80,290,,230,40,M12,90,16,60,109
SP2,50,SNL 511,22211 EK,H 311,2 x FRB 9.5/100,2 x TSN 511 L,95,255,210,M16,18,40,90,340,,280,40,M16,90,16,70,128
SP3,60,SNL 513,22213 EK,H 313,2 x FRB 10/120,2 x TSN 513 L,110,275,230,M16,18,40,100,370,,310,40,M16,90,16,80,149
SP4,65,SNL 515,22215 EK,H 315,2 x FRB 12.5/130,2 x TSN 515 L,115,280,230,M16,18,40,100,370,,310,40,M16,90,16,80,155
SP5,70,SNL 516,22216 EK,H 316,2 x FRB 12.5/140,2 x TSN 516 L,120,315,260,M20,22,40,110,405,,345,40,M20,90,16,95,177
SP6,75,SNL 517,22217 EK,H 317,2 x FRB 12.5/150,2 x TSN 517 L,125,320,260,M20,22,40,110,410,,350,40,M20,90,16,95,183
SP7,80,SNL 518,22218 EK,H 318,2 x FRB 12.5/160,2 x TSN 518 L,140,345,290,M20,22,40,120,435,,375,40,M20,90,16,100,194
SP8,90,SNL 520,22220 EK,H 320,2 x FRB 12/180,2 x TSN 520 L,160,380,320,M24,26,50,130,490,,410,50,M24,100,16,112,212
SP9,100,SNL 522,22222 EK,H 322,2 x FRB 13.5/200,2 x TSN 522 L,175,410,350,M24,26,50,140,520,,440,50,M24,100,16,125,218
SP10,110,SNL 524,22224 EK,H 3124,2 x FRB 14/215,2 x TSN 524 L,185,410,350,M24,26,50,140,520,,440,50,M24,100,16,140,242
SP11,115,SNL 526,22226 EK,H 3126,2 x FRB 13/230,2 x TSN 526 L,190,445,380,M24,2S,50,150,550,,470,50,M24,100,16,150,271
SP12,125,SNL 528,22228 CCK/W33,H 3128,2 x FRB 15/250,2 x TSN 528 L,205,500,420,M30,35,50,180,610,,530,50,M24,100,16,150,302
SP13,135,SNL 530,22230 CCK/W33,H 3130,2 x FRB 16.5/270,2 x TSN 530 L,220,530,450,M30,35,50,180,640,,560,50,M24,100,16,160,323
SP14,140,SNL 532,22232 CCK/W33,H 3132,2 x FRB 17/290,2 x TSN 532 L,235,550,470,M30,35,50,180,660,,580,50,M24,100,16,170,344
SP15,150,SNL 3134,23134 CCK/W33,H 3134,2 x FRB 10/280,2 x TS 34,230,510,430,M24,28,50,200,620,100,540,50,M24,100,16,170,333
SP16,160,SNL 3136,23136 CCK/W33,H 3136,2 x FRB 10/300,2 x TS 36,240,530,450,M24,28,50,200,640,110,560,50,M24,100,16,180,333
SP17,180,SNL 3140,23140 CCK/W33,H 3140,2 x FRB 10/340,2 x TS 40,280,610,510,M30,35,50,250,720,130,640,50,M30,100,16,210,375
SP18,200,SNL 3144,23144 CCK/W33,OH 3144 H,2 x FRB 10/370,2 x TS 44,290,640,540,M30,35,50,260,750,140,680,60,M30,120,20,220,411
SP19,220,SNL 3148,23148 CCK/W33,OH 3148 H,2 x FRB 10/400,2 x TS 48,310,700,600,M30,35,50,280,840,150,740,60,M30,120,20,240,434
SP20,240,SNL 3152,23152 CCK/W33,OH 3152 H,2 x FRB 10/440,2 x TS 52,320,770,650,M36,42,60,300,930,160,810,70,M36,140,20,260,1
SP21,260,SNL 3156,23156 CCK/W33,OH 3156 H,2 x FRB 10/460,2 x TS 56,320,790,670,M36,42,60,300,950,160,830,70,M36,140,20,280,516
SP22,280,SNL 3160,23160 CCK/W33,OH 3160 H,2 x FRB 10/500,2 x TS 60,350,830,710,M36,42,60,350,1000,190,880,70,M36,140,20,300,551
SP23,300,SNL 3164,23164 CCK/W33,OH 3164 H,2 x FRB 10/540,2 x TS 64,370,880,750,M36,42,60,350,1050,200,930,70,M36,140,20,320,591
